,AAPL,MSFT,JPM,XLE,SPY
AAPL,0.0,0.383,0.191,0.322,0.3
MSFT,0.383,0.0,0.243,0.251,0.355
JPM,0.191,0.243,0.0,0.387,0.156
XLE,0.322,0.251,0.387,0.0,0.515
SPY,0.3,0.355,0.156,0.515,0.0
