,AAPL,MSFT,JPM,XLE,SPY
AAPL,1.0,0.4102,0.2826,0.1924,0.6336
MSFT,0.4102,1.0,0.2272,0.0655,0.5904
JPM,0.2826,0.2272,1.0,0.3684,0.5765
XLE,0.1924,0.0655,0.3684,1.0,0.3527
SPY,0.6336,0.5904,0.5765,0.3527,1.0
