,AAPL,MSFT,JPM,XLE,SPY
AAPL,1.0,0.1941,0.179,-0.0879,0.4368
MSFT,0.1941,1.0,0.0644,-0.1117,0.3547
JPM,0.179,0.0644,1.0,0.0195,0.4688
XLE,-0.0879,-0.1117,0.0195,1.0,-0.1093
SPY,0.4368,0.3547,0.4688,-0.1093,1.0
