date,Close,MA5,MA20
2024-06-26,1385.76,,
2024-06-27,1387.03,,
2024-06-28,1363.93,,
2024-07-01,1336.92,,
2024-07-02,1387.24,1372.176,
2024-07-03,1396.54,1374.3319999999999,
2024-07-04,1382.28,1373.382,
2024-07-05,1349.54,1370.504,
2024-07-08,1316.54,1366.4279999999999,
2024-07-09,1334.57,1355.8939999999998,
2024-07-10,1334.13,1343.4119999999998,
2024-07-11,1358.63,1338.682,
2024-07-12,1375.36,1343.846,
2024-07-15,1371.44,1354.826,
2024-07-16,1372.54,1362.4199999999998,
2024-07-17,1397.94,1375.182,
2024-07-18,1394.05,1382.266,
2024-07-19,1422.16,1391.626,
2024-07-22,1395.54,1396.4460000000001,
2024-07-23,1351.54,1392.246,1370.684
2024-07-24,1336.56,1379.9699999999998,1368.2240000000002
2024-07-25,1327.03,1366.566,1365.224
2024-07-26,1318.73,1345.8799999999999,1362.964
2024-07-29,1294.56,1325.684,1360.846
2024-07-30,1276.53,1310.682,1355.3105
2024-07-31,1317.82,1306.934,1351.3745
2024-08-01,1282.7,1298.0679999999998,1346.3955
2024-08-02,1281.99,1290.72,1343.0179999999998
2024-08-05,1306.55,1293.118,1342.5185000000001
2024-08-06,1301.24,1298.06,1340.852
2024-08-07,1312.04,1296.904,1339.7475
2024-08-08,1327.23,1305.81,1338.1775
2024-08-09,1333.34,1316.08,1336.0765
2024-08-12,1332.64,1321.298,1334.1365
2024-08-13,1319.55,1324.96,1331.4869999999999
2024-08-14,1309.84,1324.52,1327.0819999999999
2024-08-15,1323.43,1323.76,1323.551
2024-08-16,1327.74,1322.6399999999999,1318.8300000000002
2024-08-19,1321.98,1320.5079999999998,1315.152
2024-08-20,1319.26,1320.45,1313.538
2024-08-21,1314.12,1321.306,1312.416
2024-08-22,1306.59,1317.9379999999999,1311.3939999999998
2024-08-23,1311.53,1314.696,1311.034
2024-08-26,1308.54,1312.008,1311.733
2024-08-27,1300.61,1308.2779999999998,1312.937
2024-08-28,1285.54,1302.562,1311.3229999999999
2024-08-29,1309.84,1303.212,1312.6799999999998
2024-08-30,1339.73,1308.852,1315.567
2024-09-02,1291.54,1305.452,1314.8165
2024-09-03,1306.54,1306.638,1315.0815
2024-09-04,1296.54,1308.838,1314.3065
2024-09-05,1301.42,1307.154,1313.016
2024-09-06,1294.54,1298.116,1311.076
2024-09-09,1271.54,1294.116,1308.021
2024-09-10,1274.54,1287.716,1305.7705
2024-09-11,1276.54,1283.716,1304.1055000000001
2024-09-12,1231.6,1269.752,1299.514
2024-09-13,1200.67,1250.9779999999998,1293.1605
2024-09-18,1163.44,1229.358,1285.2334999999998
2024-09-19,1157.54,1205.958,1277.1475
2024-09-20,1160.46,1182.742,1269.4644999999998
2024-09-23,1158.08,1168.038,1262.039
2024-09-24,1269.14,1181.732,1259.9195
2024-09-25,1295.54,1208.152,1259.2694999999999
2024-09-26,1425.54,1261.752,1265.516
2024-09-27,1525.74,1334.808,1277.526
2024-09-30,1644.54,1432.1,1294.261
2024-10-08,1619.54,1502.18,1308.2514999999999
2024-10-09,1491.69,1541.41,1318.259
2024-10-10,1536.54,1563.6100000000001,1329.759
2024-10-11,1501.53,1558.768,1340.0085000000001
2024-10-14,1498.53,1529.566,1349.864
2024-10-15,1450.79,1495.816,1357.6765
2024-10-16,1419.04,1481.286,1365.0515
2024-10-17,1391.14,1452.2060000000001,1370.8815
2024-10-18,1437.54,1439.408,1378.9315000000001
2024-10-21,1425.34,1424.77,1388.6185
2024-10-22,1439.54,1422.52,1400.562
2024-10-23,1464.04,1431.52,1415.592
2024-10-24,1448.74,1443.0399999999997,1430.152
2024-10-25,1455.39,1446.6100000000001,1444.8985
2024-10-28,1461.54,1453.85,1460.0715
2024-10-29,1428.16,1451.574,1468.0225
2024-10-30,1428.54,1444.4740000000002,1474.6725
2024-10-31,1424.33,1439.592,1474.612
2024-11-01,1430.29,1434.5720000000001,1469.8395
2024-11-04,1444.74,1431.212,1459.8494999999998
2024-11-05,1473.53,1440.2859999999998,1452.5490000000002
2024-11-06,1467.54,1448.0859999999998,1451.3415
2024-11-07,1545.68,1472.3560000000002,1451.7984999999999
2024-11-08,1506.51,1487.6,1452.0475000000001
2024-11-11,1494.55,1497.562,1451.8485
