date,Close,MA5,MA20
2024-06-26,171.84,,
2024-06-27,171.33,,
2024-06-28,166.36,,
2024-07-01,162.4,,
2024-07-02,162.41,166.868,
2024-07-03,165.83,165.666,
2024-07-04,165.93,164.58599999999998,
2024-07-05,163.95,164.10399999999998,
2024-07-08,162.24,164.072,
2024-07-09,162.1,164.01,
2024-07-10,159.38,162.71999999999997,
2024-07-11,163.34,162.202,
2024-07-12,166.13,162.63799999999998,
2024-07-15,164.45,163.07999999999998,
2024-07-16,165.63,163.786,
2024-07-17,167.22,165.35399999999998,
2024-07-18,174.68,167.622,
2024-07-19,175.77,169.55,
2024-07-22,175.85,171.82999999999998,
2024-07-23,172.53,173.20999999999998,166.9685
2024-07-24,172.65,174.296,167.009
2024-07-25,174.06,174.172,167.1455
2024-07-26,175.68,174.154,167.6115
2024-07-29,170.86,173.156,168.0345
2024-07-30,171.22,172.894,168.475
2024-07-31,172.64,172.892,168.8155
2024-08-01,166.63,171.406,168.8505
2024-08-02,163.42,168.954,168.824
2024-08-05,163.33,167.448,168.8785
2024-08-06,161.28,165.45999999999998,168.8375
2024-08-07,160.0,162.93200000000002,168.86849999999998
2024-08-08,158.73,161.352,168.63799999999998
2024-08-09,156.33,159.934,168.148
2024-08-12,155.33,158.334,167.692
2024-08-13,160.11,158.10000000000002,167.416
2024-08-14,158.54,157.808,166.98200000000003
2024-08-15,159.73,158.008,166.23449999999997
2024-08-16,159.95,158.732,165.4435
2024-08-19,161.93,160.052,164.7475
2024-08-20,161.2,160.26999999999998,164.181
2024-08-21,160.34,160.63,163.5655
2024-08-22,165.13,161.70999999999998,163.119
2024-08-23,168.13,163.346,162.7415
2024-08-26,170.25,165.01,162.711
2024-08-27,169.83,166.73600000000002,162.6415
2024-08-28,169.15,168.498,162.467
2024-08-29,167.13,168.898,162.49200000000002
2024-08-30,170.67,169.406,162.85449999999997
2024-09-02,167.52,168.85999999999999,163.064
2024-09-03,171.98,169.29,163.599
2024-09-04,173.48,170.156,164.273
2024-09-05,173.13,171.356,164.993
2024-09-06,172.28,171.678,165.7905
2024-09-09,171.48,172.46999999999997,166.598
2024-09-10,167.49,171.572,166.967
2024-09-11,172.89,171.454,167.6845
2024-09-12,175.68,171.964,168.48200000000003
2024-09-13,169.83,171.474,168.976
2024-09-18,172.73,171.724,169.51600000000002
2024-09-19,173.23,172.872,170.1175
2024-09-20,171.93,172.68,170.697
2024-09-23,174.53,172.45,171.167
2024-09-24,183.85,175.254,171.953
2024-09-25,189.43,178.594,172.91199999999998
2024-09-26,191.84,182.31599999999997,174.0125
2024-09-27,213.14,190.558,176.212
2024-09-30,238.22,203.296,179.7665
2024-10-08,285.33,223.592,185.4995
2024-10-09,241.33,233.97199999999998,189.19
2024-10-10,244.33,244.47000000000003,192.8075
2024-10-11,228.12,247.46599999999998,195.5395
2024-10-14,236.05,247.032,198.6855
2024-10-15,227.55,235.47600000000003,201.449
2024-10-16,220.18,231.246,203.884
2024-10-17,217.83,225.946,206.401
2024-10-18,236.22,227.56599999999997,209.56750000000002
2024-10-21,239.69,228.294,212.76799999999997
2024-10-22,236.88,230.16000000000003,216.1205
2024-10-23,235.63,233.25,219.26550000000003
2024-10-24,232.49,236.18199999999996,222.2285
2024-10-25,245.21,237.97999999999996,225.89249999999998
2024-10-28,242.57,238.55599999999998,229.29450000000003
2024-10-29,238.11,238.802,232.00750000000002
2024-10-30,234.36,238.548,234.254
2024-10-31,232.31,238.512,236.2775
2024-11-01,232.53,235.97600000000003,237.24699999999999
2024-11-04,237.53,234.96800000000002,237.2125
2024-11-05,247.72,236.89000000000001,235.33200000000002
2024-11-06,242.83,238.584,235.407
2024-11-07,249.13,241.948,235.647
2024-11-08,243.83,244.208,236.43249999999998
2024-11-11,253.83,247.46800000000002,237.32150000000001
2024-11-12,259.35,249.794,238.91150000000002
2024-11-13,268.33,254.894,241.31900000000002
2024-11-14,261.33,257.334,243.494
2024-11-15,251.89,258.946,244.2775
2024-11-18,249.25,258.03000000000003,244.75550000000004
2024-11-19,255.05,257.17,245.664
2024-11-20,253.88,254.27999999999997,246.57649999999998
2024-11-21,254.59,252.93200000000002,247.6815
2024-11-22,245.43,251.64000000000001,247.69250000000002
2024-11-25,250.43,251.87600000000003,248.0855
2024-11-26,243.05,249.47600000000003,248.33249999999998
2024-11-27,246.23,247.946,248.92600000000002
2024-11-28,241.03,245.234,249.362
2024-11-29,247.57,245.66199999999998,250.11399999999998
2024-12-02,248.52,245.28000000000003,250.66350000000003
2024-12-03,248.17,246.304,250.686
2024-12-04,245.3,246.118,250.8095
2024-12-05,242.33,246.378,250.4695
2024-12-06,252.88,247.44,250.92200000000003
2024-12-09,254.38,248.612,250.9495
2024-12-10,256.9,250.358,250.827
2024-12-11,253.43,251.984,250.08200000000002
2024-12-12,260.04,255.526,250.0175
2024-12-13,253.36,255.62199999999999,250.09099999999998
2024-12-16,253.53,255.452,250.30499999999998
2024-12-17,260.13,256.098,250.55900000000003
2024-12-18,257.74,256.96,250.752
2024-12-19,256.12,256.17600000000004,250.8285
2024-12-20,249.04,255.31199999999998,251.00900000000001
2024-12-23,249.83,254.57200000000003,250.97899999999998
2024-12-24,254.56,253.458,251.55450000000002
2024-12-25,254.3,252.76999999999998,251.958
2024-12-26,247.58,251.06199999999998,252.2855
2024-12-27,248.33,250.92000000000002,252.32350000000002
2024-12-30,252.91,251.536,252.54299999999998
2024-12-31,252.33,251.09,252.75099999999998
2025-01-02,245.11,249.252,252.7415
2025-01-03,243.96,248.52800000000002,252.823
2025-01-06,243.08,247.478,252.333
2025-01-07,235.78,244.052,251.40300000000002
2025-01-08,231.67,239.92000000000002,250.1415
2025-01-09,233.66,237.62999999999997,249.15299999999996
2025-01-10,232.33,235.304,247.76749999999998
2025-01-13,233.24,233.336,246.7615
2025-01-14,242.53,234.686,246.21150000000003
2025-01-15,237.2,235.792,245.065
