Date,Close,MA5,MA20,signal,position,position_change,action,ret,strategy_ret,buyhold_ret,SPY_Close,market_ret,nav_strategy,nav_buyhold,nav_market
2024-07-22,123.33672332763672,,,0,0,0.0,,0.0,0.0,0.0,541.8233032226562,0.0,1.0,1.0,1.0
2024-07-23,122.38827514648438,,,0,0,0.0,,-0.00768990901949651,-0.0,-0.00768990901949651,540.9733276367188,-0.0015687320587394193,1.0,0.9923100909805035,0.9984312679412606
2024-07-24,114.06200408935548,,,0,0,0.0,,-0.0680316071712207,-0.0,-0.0680316071712207,528.7135009765625,-0.02266253442422783,1.0,0.9248016406788796,0.9758042849613163
2024-07-25,112.09524536132812,,,0,0,0.0,,-0.017242891212805755,-0.0,-0.017242891212805755,525.9588012695312,-0.0052101936151491834,1.0,0.9088553865952294,0.9707201557061756
2024-07-26,112.87395477294922,116.95124053955078,,0,0,0.0,,0.00694685496348213,0.0,0.00694685496348213,531.8493041992188,0.011199551971502908,1.0,0.9151690731486859,0.9815917865397924
2024-07-29,111.40637969970705,114.56517181396484,,0,0,0.0,,-0.013001892918470537,-0.0,-0.013001892918470537,532.161865234375,0.0005876872126906463,1.0,0.9032701428573108,0.982168655480824
2024-07-30,103.5593032836914,110.79937744140625,,0,0,0.0,,-0.07043650854795946,-0.0,-0.07043650854795946,529.4656372070312,-0.005066556255691634,1.0,0.8396469477188252,0.9771924427352534
2024-07-31,116.82743072509766,111.35246276855469,,0,0,0.0,,0.1281210574105487,0.0,0.1281210574105487,538.072021484375,0.016254849555002338,1.0,0.9472234025121008,0.9930765588782002
2024-08-01,109.03028869628906,110.73947143554688,,0,0,0.0,,-0.06674067879790802,-0.0,-0.06674067879790802,530.452392578125,-0.0141609832922176,1.0,0.8840050696551791,0.9790136183200331
2024-08-02,107.09347534179688,109.5833755493164,,0,0,0.0,,-0.017763993635633746,-0.0,-0.017763993635633746,520.5762329101562,-0.018618371424376612,1.0,0.8683016092239565,0.9607859791446278
2024-08-05,100.28470611572266,107.35904083251953,,0,0,0.0,,-0.06357781558907782,-0.0,-0.06357781558907782,505.41510009765625,-0.029123751439333545,1.0,0.8130968896370163,0.932804287101623
2024-08-06,104.07846069335938,107.46287231445312,,0,0,0.0,,0.037829841902901507,0.0,0.037829841902901507,510.0747985839844,0.00921954742829767,1.0,0.8438562164237255,0.9414043204678758
2024-08-07,98.74724578857422,103.84683532714844,,0,0,0.0,,-0.05122303759364988,-0.0,-0.05122303759364988,506.6654357910156,-0.006684044776243514,1.0,0.8006313377262179,0.9351119318373194
2024-08-08,104.7972640991211,103.00023040771484,,0,0,0.0,,0.061267717010563105,0.0,0.061267717010563105,518.3782958984375,0.023117543214953074,1.0,0.8496841919558163,0.9567294223323869
2024-08-09,104.57763671875,102.49706268310547,,0,0,0.0,,-0.0020957358215321076,-0.0,-0.0020957358215321076,520.6641235351562,0.004409574349089951,1.0,0.8479034783577449,0.9609481918521234
2024-08-12,108.84061431884766,104.20824432373047,,0,0,0.0,,0.040763759192249394,0.0,0.040763759192249394,520.9376831054688,0.000525405070076923,1.0,0.8824672115677907,0.9614530789042038
2024-08-13,115.94889831542967,106.58233184814453,,0,0,0.0,,0.0653091131565866,0.0,0.0653091131565866,529.5048217773438,0.016445611346070477,1.0,0.940100362545049,0.9772647625673452
2024-08-14,117.8856964111328,110.41002197265625,,0,0,0.0,,0.01670389390362481,0.0,0.01670389390362481,531.1752319335938,0.0031546646745219675,1.0,0.9558036992597607,0.9803477051914715
2024-08-15,122.65784454345705,113.98213806152344,,0,0,0.0,,0.04048114637827749,0.0,0.04048114637827749,540.2796630859375,0.017140165062293322,1.0,0.9944957287183942,0.9971510266768938
2024-08-16,124.375,117.94161071777344,111.74332237243652,1,0,0.0,,0.01399955675834974,0.0,0.01399955675834974,541.4910278320312,0.002242106873271421,1.0,1.0084182281185237,0.9993867458474958
2024-08-19,129.78607177734375,122.13070220947266,112.06578979492187,1,1,1.0,买入,0.043506104742462304,0.043506104742462304,0.043506104742462304,546.66845703125,0.00956143118372177,1.0435061047424623,1.0522905771752564,1.0089423134438402
2024-08-20,127.04061889648438,124.34904632568359,112.29840698242188,1,1,0.0,,-0.021153678844440083,-0.021153678844440083,-0.021153678844440083,545.779541015625,-0.0016260605567995912,1.0214321117305276,1.0300307602546606,1.007301712143863
2024-08-21,128.28855895996094,126.42961883544922,113.00973472595214,1,1,0.0,,0.009823157934183424,0.009823157934183424,0.009823157934183424,547.6550903320312,0.00343645955089511,1.031465800683103,1.0401489150897092,1.0107632637331927
2024-08-22,123.53638458251952,126.60532684326172,113.58179168701172,1,1,0.0,,-0.03704285414044273,-0.03704285414044273,-0.03704285414044273,543.3568115234375,-0.007848514301196041,0.9932573634775439,1.0016188305437013,1.002830273802659
2024-08-23,129.15711975097656,127.56175079345704,114.39594993591308,1,1,0.0,,0.045498621215537716,0.045498621215537716,0.045498621215537716,549.1301879882812,0.010625387116536933,1.0384492040279523,1.047191106316959,1.013485733673995
2024-08-26,126.25189971923828,126.85491638183593,115.13822593688965,1,1,0.0,,-0.022493688596801564,-0.022493688596801564,-0.022493688596801564,547.8211669921875,-0.0023838081109496256,1.015090651008951,1.0236359156701251,1.0110697781617313
2024-08-27,128.08889770507812,127.06457214355468,116.36470565795898,1,1,0.0,,0.014550260153906702,0.014550260153906702,0.014550260153906702,548.5733642578125,0.0013730708321384455,1.0298604840609298,1.038530084546008,1.0124580485833818
2024-08-28,125.4033203125,126.4875244140625,116.7935001373291,1,1,0.0,,-0.020966511857738124,-0.020966511857738124,-0.020966511857738124,545.3887939453125,-0.005805185814678704,1.0082679020100505,1.0167557312137563,1.0065805414817883
2024-08-29,117.39649200439452,125.2595458984375,117.21181030273438,1,1,0.0,,-0.06384861491827165,-0.06384861491827165,-0.06384861491827165,545.4375610351562,8.941711011511977e-05,0.9438913930001571,0.9518372860655434,1.0066705470049058
2024-08-30,119.17357635498048,123.26283721923828,117.81581535339356,1,1,0.0,,0.015137457007824873,0.015137457007824873,0.015137457007824873,550.644287109375,0.009545961712532636,0.9581795083817529,0.9662456820618053,1.0162801855037489
2024-09-03,107.82229614257812,119.57691650390625,118.19269485473633,1,1,0.0,,-0.0952499753686209,-0.0952499753686209,-0.0952499753686209,539.3126831054688,-0.02057880971287629,0.8669129338096737,0.874210804645382,0.9953663489513006
2024-09-04,106.03523254394533,115.16618347167969,118.29053344726563,0,1,0.0,,-0.016574156390341432,-0.016574156390341432,-0.016574156390341432,538.208740234375,-0.0020469440190744592,0.8525445832679025,0.8597214980510632,0.9933288897565268
2024-09-05,107.0335922241211,111.4922378540039,118.70485076904296,0,0,-1.0,卖出,0.009415358048675104,0.0,0.009415358048675104,536.8997802734375,-0.0024320674546598475,0.8525445832679025,0.8678160837773573,0.9909130468919766
2024-09-06,102.66080474853516,108.54510040283203,118.59802780151367,0,0,0.0,,-0.04085434660951692,-0.0,-0.04085434660951692,527.8635864257812,-0.016830317648955262,0.8525445832679025,0.8323620246974036,0.9742356655502905
2024-09-09,106.2947998046875,105.96934509277344,118.68388595581055,0,0,0.0,,0.03539807685176166,0.0,0.03539807685176166,533.773681640625,0.011196254802991135,0.8525445832679025,0.8618260396161302,0.9851434562999533
2024-09-10,107.922119140625,105.98930969238282,118.63796119689941,0,0,0.0,,0.015309491517248697,0.0,0.015309491517248697,536.0987548828125,0.00435591585377737,0.8525445832679025,0.8750201580589775,0.9894346582994953
2024-09-11,116.7176284790039,108.12578887939453,118.67639770507813,0,0,0.0,,0.08149867152736467,0.0,0.08149867152736467,541.5985107421875,0.010258848410452215,0.8525445832679025,0.9463331385004488,0.9995851184710374
2024-09-12,118.95413208007812,110.50989685058593,118.7298194885254,0,0,0.0,,0.01916166075526915,0.0,0.01916166075526915,546.1605834960938,0.008423348039961365,0.8525445832679025,0.9644664530618635,1.008004971819485
