Date,Close,MA5,MA20,signal,position,position_change,action
2021-12-08,31.725772857666016,31.322844314575196,31.241768550872802,1,1,0.0,
2021-12-09,30.39398002624512,30.996675872802733,31.29333610534668,0,1,0.0,
2021-12-10,30.102901458740234,30.89798812866211,31.283951663970946,0,0,-1.0,卖出
2021-12-13,28.07231330871582,30.52396926879883,31.173037815093995,0,0,0.0,
2021-12-14,28.247758865356445,29.708545303344728,31.089086723327636,0,0,0.0,
2021-12-15,30.363086700439453,29.436008071899415,31.10203104019165,0,0,0.0,
2021-12-16,28.2976016998291,29.01673240661621,31.058647060394286,0,0,0.0,
2021-12-17,27.71344947814941,28.538842010498048,30.86575050354004,0,0,0.0,
2021-12-20,27.63170623779297,28.450720596313477,30.603480911254884,0,0,0.0,
2021-12-21,28.983436584472656,28.59785614013672,30.460079669952393,0,0,0.0,
2021-12-22,29.30741310119629,28.386721420288087,30.343342971801757,0,0,0.0,
2021-12-23,29.546655654907227,28.63653221130371,30.192319774627684,0,0,0.0,
2021-12-27,30.84754943847656,29.26335220336914,30.164699935913085,0,0,0.0,
2021-12-28,30.226512908935547,29.782313537597656,30.01268482208252,0,0,0.0,
2021-12-29,29.906517028808597,29.966929626464843,29.879555320739748,1,0,0.0,
2021-12-30,29.492828369140625,30.004012680053712,29.7873966217041,1,1,1.0,买入
2021-12-31,29.318378448486328,29.95835723876953,29.65207443237305,1,1,0.0,
2022-01-03,30.026142120361328,29.794075775146485,29.623564529418946,1,1,0.0,
2022-01-04,29.197763442993164,29.588325881958006,29.586332321166992,1,1,0.0,
2022-01-05,27.517070770263672,29.110436630249023,29.345941925048827,0,1,0.0,
2022-01-06,28.089263916015625,28.829723739624022,29.16411647796631,0,0,-1.0,卖出
2022-01-07,27.161191940307617,28.398286437988283,29.002477073669432,0,0,0.0,
2022-01-10,27.31371116638184,27.855800247192384,28.863017559051514,0,0,0.0,
2022-01-11,27.729402542114254,27.5621280670166,28.845872020721437,0,0,0.0,
2022-01-12,27.91082572937012,27.64087905883789,28.82902536392212,0,0,0.0,
2022-01-13,26.49131393432617,27.3212890625,28.635436725616454,0,0,0.0,
2022-01-14,26.857152938842773,27.26048126220703,28.563414287567138,0,0,0.0,
2022-01-18,25.82142639160156,26.962024307250978,28.468813133239745,0,0,0.0,
2022-01-19,24.988056182861328,26.413755035400392,28.336630630493165,0,0,0.0,
2022-01-20,24.07394790649414,25.646379470825195,28.091156196594238,0,0,0.0,
2022-01-21,23.30039405822754,25.00819549560547,27.7908052444458,0,0,0.0,
