Date,Close,MA5,MA20,signal,position,position_change,action,ret,strategy_ret,buyhold_ret,SPY_Close,market_ret,nav_strategy,nav_buyhold,nav_market
2025-07-21,171.1520538330078,,,0,0,0.0,,0.0,0.0,0.0,621.87939453125,0.0,1.0,1.0,1.0
2025-07-22,166.80784606933594,,,0,0,0.0,,-0.025382153858991896,-0.0,-0.025382153858991896,621.9684448242188,0.0001431954391026835,1.0,0.9746178461410081,1.0001431954391027
2025-07-23,170.55284118652344,,,0,0,0.0,,0.022450953030295873,0.0,0.022450953030295873,627.2598266601562,0.008507476351847565,1.0,0.996498945627208,1.0086518900227621
2025-07-24,173.5089111328125,,,0,0,0.0,,0.017332282040708913,0.0,0.017332282040708913,627.4674072265625,0.0003309323466664793,1.0,1.0137705464060878,1.008985685559697
2025-07-25,173.26922607421875,171.05817565917968,,0,0,0.0,,-0.0013813991283150306,-0.0,-0.0013813991283150306,630.1181030273438,0.004224435835635587,1.0,1.012370124656971,1.0132480808474187
2025-07-28,176.514892578125,172.13074340820313,,0,0,0.0,,0.018731927056198527,0.0,0.018731927056198527,629.9598388671875,-0.0002511658677887274,1.0,1.03133376798592,1.0129935875139073
2025-07-29,175.2765655517578,173.8244873046875,,0,0,0.0,,-0.007015425204528358,-0.0,-0.007015425204528358,628.29833984375,-0.0026374681700745972,1.0,1.0240985230757105,1.0103218491703496
2025-07-30,179.03155517578125,175.52023010253907,,0,0,0.0,,0.021423226842692822,0.0,0.021423226842692822,627.5070190429688,-0.0012594666428340506,1.0,1.046038018044828,1.009049382502793
2025-07-31,177.63340759277344,176.34512939453126,,0,0,0.0,,-0.0078095036466339085,-0.0,-0.0078095036466339085,625.153076171875,-0.0037512614196472116,1.0,1.0378689803283894,1.0052641744836914
2025-08-01,173.4889373779297,176.38907165527343,,0,0,0.0,,-0.023331592131278556,-0.0,-0.023331592131278556,614.9066162109375,-0.016390321589204504,1.0,1.0136538445936614,0.9887875713817975
2025-08-04,179.76058959960938,177.0382110595703,,0,0,0.0,,0.03615015641036212,0.0,0.03615015641036212,624.2530517578125,0.015199764160073403,1.0,1.050297589621687,1.0038169092712126
2025-08-05,178.02288818359375,177.5874755859375,,0,0,0.0,,-0.009666754097136132,-0.0,-0.009666754097136132,621.088134765625,-0.005069926343612585,1.0,1.0401446210939995,0.9987276314787347
2025-08-06,179.1813507080078,177.6174346923828,,0,0,0.0,,0.006507379675917635,0.0,0.006507379675917635,625.845458984375,0.007659660445043404,1.0,1.0469132370613217,1.0063775460129443
2025-08-07,180.5295562744141,178.19666442871093,,0,0,0.0,,0.007524251609216215,0.0,0.007524251609216215,625.3212280273438,-0.000837636431655131,1.0,1.0547904756699902,1.0055345675164042
2025-08-08,182.4569854736328,179.99027404785156,,0,0,0.0,,0.010676529865774054,0.0,0.010676529865774054,630.1972045898438,0.007797554830949682,1.0,1.0660519776856148,1.0133752784410286
2025-08-11,181.8178253173828,180.40172119140624,,0,0,0.0,,-0.0035030730919445308,-0.0,-0.0035030730919445308,628.9510498046875,-0.0019774044951013092,1.0,1.06231751968797,1.0113714256102149
2025-08-12,182.9163818359375,181.380419921875,,0,0,0.0,,0.00604207269907131,0.0,0.00604207269907131,635.6468505859375,0.010645980769615315,1.0,1.0687361193714218,1.0221384663581996
2025-08-13,181.34844970703125,181.8138397216797,,0,0,0.0,,-0.008571851865693314,-0.0,-0.008571851865693314,637.8228149414062,0.0034232284065640606,1.0,1.059575071672654,1.0256374797916787
2025-08-14,181.7778778076172,182.06350402832032,,0,0,0.0,,0.002367972272603769,0.0,0.002367972272603769,637.882080078125,9.29178689290655e-05,1.0,1.062084116063117,1.0257327798405949
2025-08-15,180.20997619628903,181.61410217285157,177.26290588378907,1,0,0.0,,-0.008625370866016668,-0.0,-0.008625370866016668,636.388671875,-0.0023411979263346927,1.0,1.052923246671167,1.0233313363834586
2025-08-18,181.76788330078125,181.60411376953124,177.79369735717773,1,1,1.0,买入,0.008644954831997342,0.008644954831997342,0.008644954831997342,636.2501220703125,-0.00021771255650937515,1.0086449548319973,1.0620257205801993,1.0231085443020584
2025-08-19,175.4063720703125,180.10211181640625,178.22362365722657,1,1,0.0,,-0.034997993677144845,-0.034997993677144845,-0.034997993677144845,632.7984008789062,-0.00542510102815319,0.9733444050803031,1.0248569511263683,1.017558077086453
2025-08-20,175.16668701171875,178.86575927734376,178.45431594848634,1,1,0.0,,-0.0013664558234958157,-0.0013664558234958157,-0.0013664558234958157,631.116943359375,-0.002657177257710863,0.972014372949714,1.0234565293772515,1.0148542449056188
2025-08-21,174.7472381591797,177.45963134765626,178.5162322998047,0,1,0.0,,-0.002394569764917698,-0.002394569764917698,-0.002394569764917698,628.5851440429688,-0.004011616774111215,0.9696868167211832,1.021005791316297,1.0107830385934775
2025-08-22,177.75326538085938,176.96828918457032,178.7404342651367,0,0,-1.0,卖出,0.017202144384917073,0.0,0.017202144384917073,638.2381591796875,0.015356734450693521,0.9696868167211832,1.0385692803563566,1.0263053653044227
2025-08-25,179.57083129882812,176.52887878417968,178.8932312011719,0,0,0.0,,0.010225218164484184,0.0,0.010225218164484184,635.4292602539062,-0.0044010200352035955,0.9696868167211832,1.0491888778269318,1.021788574829481
2025-08-26,181.5282287597656,177.7532501220703,179.20581436157227,0,0,0.0,,0.010900419888796531,0.0,0.010900419888796531,638.0897827148438,0.004186968758527643,0.9696868167211832,1.0606254771379007,1.0260667716701126
2025-08-27,181.3584442138672,178.9916015625,179.32215881347656,0,0,0.0,,-0.0009353065749519995,-0.0,-0.0009353065749519995,639.543701171875,0.002278548405594716,0.9696868167211832,1.059633467155572,1.0284047144767352
