Date,Close,High,Low,Open,Volume
2021-07-20,18.54784393310547,18.773064743639477,18.101388235116307,18.665437217414535,434687000
2021-07-21,19.343088150024414,19.459685396141058,18.677391662724432,18.816908435326592,371017000
2021-07-22,19.526464462280273,19.81845383790225,19.209559734509735,19.574299353352185,323826000
2021-07-23,19.490589141845703,19.632099901866404,19.183650176394146,19.58825093515204,195672000
2021-07-26,19.227497100830078,19.37498578095671,18.848805839371344,19.24443870206173,203943000
2021-07-27,19.141788482666016,19.554360946532352,18.676397315586588,19.198591207828677,248863000
2021-07-28,19.435773849487305,19.57828058191226,18.92952549207066,19.2524080782056,202191000
2021-07-29,19.594226837158203,19.78456845561129,19.261376580692936,19.451718199146022,190781000
2021-07-30,19.431785583496094,19.56233262989459,19.196599037799633,19.35106352111419,183497000
2021-08-02,19.681921005249023,19.892194121271995,19.294261963742557,19.63209411744404,217444000
2021-08-03,19.74669647216797,20.15229309655213,19.15374627337289,19.671954243501315,301811000
2021-08-04,20.204118728637695,20.247967690687908,19.759654974548358,19.921097238700884,231309000
2021-08-05,20.56586456298828,20.661534325497566,20.271881335250495,20.429337660982515,211435000
2021-08-06,20.295799255371094,20.499096555119213,20.140336838007727,20.453255584823058,178497000
2021-08-09,20.225048065185547,20.437313251264435,20.073571547056734,20.375526676723766,146443000
2021-08-10,19.867280960083008,20.35957761344973,19.766627375953473,20.25195008967123,179238000
2021-08-11,19.631099700927734,19.979893679889088,19.363027803581907,19.973913844041807,185925000
2021-08-12,19.836389541625977,19.959960768948545,19.552372068752263,19.80151033623967,151652000
2021-08-13,20.118410110473633,20.14432145963521,19.782571882288952,19.836386591609863,183063000
2021-08-16,19.88123321533203,20.21707147166275,19.385944729446937,20.0655949890892,210876000
2021-08-17,19.39093017578125,19.70185501306102,19.2005885511107,19.61714701214786,204585000
2021-08-18,18.974367141723633,19.566319396687003,18.93450411542504,19.43278053951517,285913000
2021-08-19,19.729759216308594,20.424357250217014,18.69732897160498,19.42680621302626,766555000
2021-08-20,20.74424934387207,20.79308023295475,19.864293533156978,19.92209227489408,675741000
2021-08-23,21.88231086730957,21.921175993171637,20.877786025238045,20.89871354691562,575807000
