Date,Close,MA5,MA20,signal,position,position_change,action
2024-12-31,134.08973693847656,137.58251037597657,136.9429817199707,1,1,0.0,
2025-01-02,138.1037139892578,137.20107727050782,136.84610900878906,1,1,0.0,
2025-01-03,144.25454711914062,138.10772399902345,136.8131591796875,1,1,0.0,
2025-01-06,149.20713806152344,140.58801879882813,137.03133239746094,1,1,0.0,
2025-01-07,139.93099975585938,141.11722717285156,136.91650314331054,1,1,0.0,
2025-01-08,139.90106201171875,142.2794921875,136.98140716552734,1,1,0.0,
2025-01-10,135.7073211669922,141.8002136230469,137.02334442138672,1,1,0.0,
2025-01-13,133.03131103515625,139.55556640625,136.71979751586915,1,1,0.0,
2025-01-14,131.56350708007812,136.02684020996094,136.44121322631835,0,1,0.0,
2025-01-15,136.03683471679688,135.24800720214844,136.54056549072266,0,0,-1.0,卖出
2025-01-16,133.37081909179688,133.94195861816405,136.61894989013672,0,0,0.0,
2025-01-17,137.504638671875,134.30142211914062,136.98440475463866,0,0,0.0,
2025-01-21,140.61997985839844,135.81915588378905,137.5795166015625,0,0,0.0,
2025-01-22,146.85069274902344,138.87659301757813,138.3977958679199,1,0,0.0,
2025-01-23,147.00047302246094,141.06932067871094,139.02286376953126,1,1,1.0,买入
2025-01-24,142.4073028564453,142.87661743164062,139.1701446533203,1,1,0.0,
2025-01-27,118.24340057373048,139.0243698120117,138.08177070617677,1,1,0.0,
2025-01-28,128.7976531982422,136.65990447998047,137.53558769226075,0,1,0.0,
2025-01-29,123.5155258178711,131.99287109375,136.8710807800293,0,0,-1.0,卖出
2025-01-30,124.464111328125,127.48559875488282,136.23003845214845,0,0,0.0,
2025-01-31,119.89093780517578,122.98232574462891,135.5200984954834,0,0,0.0,
2025-02-03,116.48603057861328,122.63085174560547,134.43921432495117,0,0,0.0,
2025-02-04,118.47306060791016,120.56593322753906,133.15013999938964,0,0,0.0,
2025-02-05,124.6438446044922,120.79159698486328,131.92197532653807,0,0,0.0,
2025-02-06,128.4880828857422,121.59639129638671,131.34982948303224,0,0,0.0,
2025-02-07,129.6463623046875,123.54747619628907,130.83709449768065,0,0,0.0,
2025-02-10,133.37081909179688,126.92443389892578,130.7202693939209,0,0,0.0,
2025-02-11,132.6019744873047,129.75021667480468,130.69880256652831,0,0,0.0,
2025-02-12,130.94442749023438,131.0103332519531,130.66784858703613,1,0,0.0,
2025-02-13,135.08824157714844,132.3303649902344,130.62041893005372,1,1,1.0,买入
2025-02-14,138.6429443359375,134.1296813964844,130.88402519226074,1,1,0.0,
2025-02-18,139.19210815429688,135.29393920898437,130.96839866638183,1,1,0.0,
2025-02-19,139.02236938476562,136.57801818847656,130.8885181427002,1,1,0.0,
