date,Equity,Peak_before_worst
2025-04-08,0.9200946389202564,1.3844168414260367
2025-04-09,1.0622143356455345,1.3844168414260367
2025-04-10,1.0168844437274833,1.3844168414260367
2025-04-11,1.058450287680809,1.3844168414260367
2025-04-14,1.0819487014034526,1.3844168414260367
2025-04-15,1.0799053610797444,1.3844168414260367
2025-04-16,1.0375867075334735,1.3844168414260367
2025-04-17,1.052158950368339,1.3844168414260367
2025-04-21,1.0316180029036943,1.3844168414260367
2025-04-22,1.067000053772114,1.3844168414260367
2025-04-23,1.0931333010700652,1.3844168414260367
2025-04-24,1.1134053879658012,1.3844168414260367
2025-04-25,1.1182986503199446,1.3844168414260367
2025-04-28,1.1229230521051787,1.3844168414260367
2025-04-29,1.1286766682798306,1.3844168414260367
2025-04-30,1.1356132709576818,1.3844168414260367
2025-05-01,1.140022584287789,1.3844168414260367
2025-05-02,1.0971662096037,1.3844168414260367
2025-05-05,1.062429424100662,1.3844168414260367
2025-05-06,1.0603860837769536,1.3844168414260367
2025-05-07,1.0482335860622685,1.3844168414260367
2025-05-08,1.054901328171211,1.3844168414260367
2025-05-09,1.0604936280045172,1.3844168414260367
2025-05-12,1.1278163144593218,1.3844168414260367
2025-05-13,1.1393235468086254,1.3844168414260367
2025-05-14,1.1360972199817179,1.3844168414260367
2025-05-15,1.1313652739689202,1.3844168414260367
2025-05-16,1.1303436038070662,1.3844168414260367
2025-05-19,1.1170081195891814,1.3844168414260367
2025-05-20,1.1066838737430773,1.3844168414260367
2025-05-21,1.0810345754691622,1.3844168414260367
2025-05-22,1.0771092111630913,1.3844168414260367
2025-05-23,1.0443619938699795,1.3844168414260367
2025-05-27,1.0709254180781853,1.3844168414260367
2025-05-28,1.072054632467603,1.3844168414260367
2025-05-29,1.0695273431198589,1.3844168414260367
2025-05-30,1.07436683336022,1.3844168414260367
2025-06-02,1.0789374630316726,1.3844168414260367
2025-06-03,1.087379684895414,1.3844168414260367
2025-06-04,1.0849599397752334,1.3844168414260367
2025-06-05,1.0731838468570207,1.3844168414260367
2025-06-06,1.0908748722912305,1.3844168414260367
2025-06-09,1.0775931601871276,1.3844168414260367
2025-06-10,1.0841533580685063,1.3844168414260367
2025-06-11,1.0632360058073889,1.3844168414260367
2025-06-12,1.0654944345862243,1.3844168414260367
2025-06-13,1.0507071032962312,1.3844168414260367
2025-06-16,1.0613002097112445,1.3844168414260367
2025-06-17,1.046351562079906,1.3844168414260367
2025-06-18,1.0514061407753945,1.3844168414260367
2025-06-20,1.075173415066947,1.3844168414260367
2025-06-23,1.0778620207560368,1.3844168414260367
2025-06-24,1.0714093671022218,1.3844168414260367
2025-06-25,1.0781846534387276,1.3844168414260367
2025-06-26,1.0751734150669472,1.3844168414260367
2025-06-27,1.0756035919772016,1.3844168414260367
2025-06-30,1.0975963865139549,1.3844168414260367
2025-07-01,1.1118459966661298,1.3844168414260367
2025-07-02,1.1366887132333179,1.3844168414260367
2025-07-03,1.142657417863097,1.3844168414260367
2025-07-07,1.1232994569016517,1.3844168414260367
