date,open,high,low,close,volume
2023-06-28,184.65,186.62,184.32,185.97,51216801.0
2023-06-29,185.8,186.79,185.66,186.31,46347308.0
2023-06-30,188.35,191.2,187.98,190.69,85213216.0
2023-07-03,190.5,190.6,188.48,189.18,31458200.0
2023-07-05,188.29,189.7,187.34,188.05,46920261.0
2023-07-06,186.56,188.74,185.92,188.53,45156009.0
2023-07-07,188.13,189.39,186.96,187.4,46814998.0
2023-07-10,185.98,186.71,183.76,185.33,59922163.0
2023-07-11,185.88,186.02,183.32,184.8,46638119.0
2023-07-12,186.4,188.42,185.19,186.49,60750248.0
2023-07-13,187.22,187.91,186.5,187.26,41342338.0
2023-07-14,186.95,187.9,186.35,187.41,41616242.0
2023-07-17,188.62,191.04,188.53,190.71,50520159.0
2023-07-18,190.07,191.05,189.14,190.45,48353774.0
2023-07-19,189.82,194.95,189.37,191.82,80507323.0
2023-07-20,191.81,193.19,189.22,189.85,59581196.0
2023-07-21,190.82,191.69,187.95,188.66,71951683.0
2023-07-24,190.13,191.63,188.97,189.47,45505097.0
2023-07-25,190.05,191.16,189.64,190.34,37283201.0
2023-07-26,190.39,192.36,190.04,191.22,47471868.0
2023-07-27,192.74,193.92,189.27,189.94,47460180.0
2023-07-28,191.39,193.35,190.86,192.55,48291443.0
2023-07-31,192.78,193.21,191.98,193.17,38824113.0
2023-08-01,192.96,193.45,192.0,192.33,35281426.0
2023-08-02,191.76,191.9,188.57,189.3,50389327.0
2023-08-03,188.29,189.09,187.41,187.89,62243282.0
2023-08-04,182.24,184.1,178.64,178.71,115956841.0
2023-08-07,178.85,179.85,174.07,175.57,97576069.0
2023-08-08,176.41,176.99,174.3,176.52,67823003.0
2023-08-09,177.59,177.65,173.73,174.91,60378492.0
2023-08-10,176.2,177.47,174.32,174.69,54686851.0
2023-08-11,174.28,175.58,173.51,174.75,52036672.0
2023-08-14,174.93,176.65,174.27,176.42,43675627.0
2023-08-15,175.84,176.44,174.01,174.41,43622593.0
2023-08-16,174.09,175.5,173.46,173.53,46964857.0
2023-08-17,174.1,174.47,170.44,170.96,66062882.0
2023-08-18,169.26,172.06,168.92,171.45,61172150.0
2023-08-21,172.03,173.09,170.7,172.8,46311879.0
2023-08-22,174.02,174.64,173.21,174.19,42084245.0
2023-08-23,175.48,178.51,175.29,178.08,52722752.0
2023-08-24,177.63,178.06,172.97,173.34,54945798.0
2023-08-25,174.34,176.11,172.78,175.57,51449594.0
2023-08-28,177.05,177.55,175.51,177.15,43820697.0
2023-08-29,176.66,181.86,176.46,181.08,53003948.0
2023-08-30,181.9,184.81,181.7,184.61,60813888.0
2023-08-31,184.8,186.08,184.44,184.83,60794467.0
2023-09-01,186.45,186.88,185.24,186.42,45766503.0
2023-09-05,185.24,186.94,184.57,186.66,45280027.0
2023-09-06,185.36,185.81,178.43,179.87,81755816.0
2023-09-07,172.14,175.17,170.5,174.52,112488803.0
2023-09-08,175.31,177.2,174.75,175.14,65602066.0
2023-09-11,177.03,177.26,174.3,176.32,58953052.0
2023-09-12,176.45,177.09,171.78,173.26,90370192.0
2023-09-13,173.47,174.26,170.94,171.17,84267928.0
2023-09-14,170.96,173.06,170.54,172.7,60895757.0
2023-09-15,173.44,173.46,170.78,171.97,109259461.0
2023-09-18,173.44,176.34,173.13,174.93,67257573.0
2023-09-19,174.48,176.59,174.09,176.03,51826941.0
2023-09-20,176.22,176.66,172.36,172.45,58436181.0
2023-09-21,171.51,173.26,170.82,170.89,63149116.0
2023-09-22,171.63,174.04,171.01,171.75,56725385.0
2023-09-25,171.16,173.93,171.11,173.04,46172740.0
2023-09-26,171.78,172.16,168.62,168.92,64588945.0
2023-09-27,169.58,170.0,166.01,167.39,66921808.0
2023-09-28,166.3,168.99,164.58,167.65,56294419.0
2023-09-29,168.98,170.03,167.3,168.17,51861083.0
2023-10-02,168.18,171.26,167.89,170.71,52164535.0
2023-10-03,169.22,170.59,167.78,169.36,49594613.0
2023-10-04,168.05,171.17,167.93,170.62,53020286.0
2023-10-05,170.75,172.41,169.64,171.87,48527918.0
2023-10-06,170.76,174.95,170.14,174.45,57266675.0
2023-10-09,173.77,176.01,172.76,175.95,42390772.0
2023-10-10,175.06,176.68,174.91,175.35,43698019.0
2023-10-11,175.16,176.81,174.56,176.76,47551098.0
2023-10-12,177.03,179.3,176.0,177.67,56743119.0
2023-10-13,178.38,178.89,175.1,175.81,51456082.0
2023-10-16,173.71,176.04,173.47,175.68,52516984.0
2023-10-17,173.61,175.38,171.76,174.11,57549350.0
2023-10-18,172.54,174.54,172.07,172.8,54764375.0
2023-10-19,173.0,174.8,172.15,172.42,59302863.0
2023-10-20,172.27,172.38,169.6,169.84,64244028.0
2023-10-23,167.87,170.97,166.89,169.96,55980108.0
2023-10-24,170.01,170.63,168.41,170.4,43816509.0
2023-10-25,168.84,170.02,167.61,168.06,57156955.0
2023-10-26,167.33,168.3375,162.63,163.85,70625251.0
2023-10-27,163.87,165.92,163.79,165.18,58499005.0
2023-10-30,165.98,168.13,165.83,167.25,51130941.0
2023-10-31,166.31,167.86,164.86,167.73,44845959.0
2023-11-01,167.96,171.19,167.08,170.93,56934745.0
2023-11-02,172.48,174.74,172.42,174.53,77334576.0
2023-11-03,171.2,173.78,170.31,173.61,79829245.0
2023-11-06,173.34,176.39,173.17,176.19,63840954.0
2023-11-07,176.14,179.4,175.93,178.78,70529898.0
2023-11-08,179.31,180.41,178.55,179.85,49340226.0
2023-11-09,179.92,181.08,178.77,179.37,53762757.0
2023-11-10,181.17,183.765,180.73,183.6,66177922.0
2023-11-13,183.02,183.23,181.41,182.0,43627292.0
2023-11-14,184.9,185.31,183.5,184.64,60108352.0
2023-11-15,185.045,186.7,184.98,185.21,53790272.0
2023-11-16,186.77,188.16,185.85,186.91,54412623.0
2023-11-17,187.45,187.58,185.77,186.89,50941404.0
2023-11-20,187.09,189.105,187.08,188.65,46538598.0
2023-11-21,188.61,188.72,186.94,187.84,38134485.0
2023-11-22,188.69,190.13,188.025,188.51,39630010.0
2023-11-24,188.07,188.1,186.45,187.17,23918892.0
2023-11-27,187.12,187.87,186.1,186.99,40552608.0
2023-11-28,186.98,188.28,186.6,187.6,38415419.0
2023-11-29,188.1,189.29,186.17,186.57,43014224.0
2023-11-30,187.04,187.52,185.39,187.15,48794365.0
2023-12-01,187.53,188.76,186.43,188.44,45704812.0
2023-12-04,187.18,187.25,184.6511,186.63,43389452.0
2023-12-05,187.41,191.6,187.38,190.62,66628301.0
2023-12-06,191.65,191.96,189.31,189.52,41089617.0
2023-12-07,190.83,192.2,190.79,191.47,47477600.0
2023-12-08,191.4,193.19,190.87,192.91,53406187.0
2023-12-11,190.31,190.69,188.62,190.38,60943541.0
2023-12-12,190.28,191.92,188.921,191.91,52696829.0
2023-12-13,192.29,195.2,192.05,195.16,70404177.0
2023-12-14,195.22,196.82,193.36,195.31,66831470.0
2023-12-15,194.73,195.5999,194.2,194.77,128538401.0
2023-12-18,193.29,193.83,191.59,193.09,55751758.0
2023-12-19,193.36,194.15,193.09,194.14,40713979.0
2023-12-20,194.1,194.88,192.03,192.03,52242815.0
2023-12-21,193.3,194.28,190.7,191.88,46482437.0
2023-12-22,192.38,192.61,190.17,190.8,37149566.0
2023-12-26,190.81,191.09,190.03,190.25,28919231.0
2023-12-27,189.69,190.7,188.29,190.35,48087675.0
2023-12-28,191.34,191.86,190.37,190.78,34049893.0
2023-12-29,191.1,191.6,188.925,189.73,42672148.0
2024-01-02,184.35,185.64,181.085,182.84,82488674.0
2024-01-03,181.42,183.08,180.63,181.45,58414447.0
2024-01-04,179.35,180.2872,178.08,179.11,71983557.0
2024-01-05,179.19,179.96,177.37,178.38,62379430.0
2024-01-08,179.285,182.8,178.7,182.76,59144244.0
2024-01-09,181.12,182.35,179.93,182.34,42841575.0
2024-01-10,181.55,183.6,181.12,183.39,46792902.0
2024-01-11,183.74,184.25,180.82,182.79,49128302.0
2024-01-12,183.26,183.94,182.39,183.12,40477750.0
2024-01-16,179.36,181.46,178.134,180.83,65602937.0
2024-01-17,178.47,180.13,177.5,179.88,47317405.0
2024-01-18,183.29,186.34,183.03,185.83,78005668.0
2024-01-19,186.53,189.15,186.02,188.76,68902893.0
2024-01-22,189.5,192.53,189.46,191.09,60133828.0
2024-01-23,192.22,192.95,191.0299,192.38,42355537.0
2024-01-24,192.62,193.58,191.54,191.7,53631306.0
2024-01-25,192.42,193.4675,190.3125,191.37,54822126.0
2024-01-26,191.47,191.96,189.14,189.62,44593815.0
2024-01-29,189.21,189.4,186.78,188.93,47145335.0
2024-01-30,188.14,189.0,184.67,185.24,55859113.0
2024-01-31,184.24,184.295,181.55,181.6,55467788.0
2024-02-01,181.185,184.15,181.02,184.06,64885308.0
2024-02-02,177.06,184.53,176.45,183.05,102551492.0
2024-02-05,185.35,186.45,183.04,184.88,69668790.0
2024-02-06,184.06,186.51,183.9695,186.5,43490752.0
2024-02-07,187.84,188.25,185.81,186.61,53438919.0
2024-02-08,186.585,186.735,184.55,185.52,40961800.0
2024-02-09,186.09,187.43,185.44,186.29,45155208.0
2024-02-12,185.855,186.11,184.23,184.59,41781918.0
2024-02-13,183.21,183.65,180.9528,182.48,56529210.0
2024-02-14,182.76,182.97,179.88,181.59,54630501.0
2024-02-15,180.99,181.93,178.79,181.3,65434476.0
2024-02-16,180.86,182.29,179.105,179.75,49752342.0
2024-02-20,179.23,179.87,177.44,179.0,53665461.0
2024-02-21,179.38,180.3288,178.1,179.76,41529506.0
2024-02-22,180.92,182.395,179.9,181.81,52292207.0
2024-02-23,182.45,182.48,179.67,179.96,45119612.0
2024-02-26,179.68,180.2,178.09,178.6,40867380.0
2024-02-27,178.54,181.3625,177.0,180.07,54318811.0
2024-02-28,179.95,180.56,177.57,178.86,48953923.0
2024-02-29,178.71,180.01,176.97,178.19,136682472.0
2024-03-01,176.99,177.97,174.82,177.1,73563079.0
2024-03-04,173.59,174.34,171.23,172.53,81509778.0
2024-03-05,168.2,169.48,167.06,167.56,95132254.0
2024-03-06,168.5,168.68,166.12,166.56,68587488.0
2024-03-07,166.59,168.17,165.93,166.44,71765061.0
2024-03-08,166.44,171.14,166.38,168.17,76266949.0
2024-03-11,170.38,171.82,169.49,170.19,60139468.0
2024-03-12,170.59,171.47,168.45,170.67,59824896.0
2024-03-13,170.21,170.625,168.2,168.57,52488383.0
2024-03-14,170.35,171.7478,169.49,170.44,72913285.0
2024-03-15,168.61,170.06,167.725,170.06,121752612.0
2024-03-18,173.01,175.15,170.96,171.16,75604154.0
2024-03-19,171.78,174.045,170.47,173.52,55215164.0
2024-03-20,173.16,176.11,172.53,176.11,53423022.0
2024-03-21,174.49,174.93,168.28,168.81,106181174.0
2024-03-22,169.2,170.49,167.5,169.72,71159977.0
2024-03-25,168.005,169.38,166.89,168.29,54288126.0
2024-03-26,167.44,168.86,167.02,167.15,57388243.0
2024-03-27,167.85,171.04,167.55,170.75,60273206.0
2024-03-28,169.19,169.67,167.95,168.92,65672690.0
2024-04-01,168.63,168.69,166.92,167.47,46240500.0
2024-04-02,166.52,166.78,165.67,166.28,49329481.0
2024-04-03,166.23,168.12,166.02,167.09,47691715.0
2024-04-04,167.73,169.36,166.26,166.26,53704386.0
2024-04-05,167.03,167.83,166.39,167.02,42104826.0
2024-04-08,166.47,166.64,165.68,165.89,37425513.0
2024-04-09,166.14,167.52,165.79,167.11,42451209.0
2024-04-10,166.24,166.53,164.55,165.22,49709336.0
2024-04-11,165.78,172.9,165.6,172.48,91070275.0
2024-04-12,171.7,175.8,171.65,173.99,101670886.0
2024-04-15,172.8,174.07,169.94,170.13,73531773.0
2024-04-16,169.19,171.2,165.71,166.82,73711235.0
2024-04-17,167.05,168.09,165.44,165.44,50901210.0
2024-04-18,165.47,166.08,163.99,164.48,43122903.0
2024-04-19,163.65,163.84,161.52,162.44,68149377.0
2024-04-22,162.96,164.7,162.21,163.28,48116443.0
2024-04-23,162.79,164.49,162.36,164.34,49537761.0
2024-04-24,163.98,166.74,163.65,166.46,48251835.0
2024-04-25,166.97,168.05,165.59,167.33,50558329.0
2024-04-26,167.32,168.78,166.62,166.74,44838354.0
2024-04-29,170.81,173.47,170.54,170.94,68169419.0
2024-04-30,170.77,172.43,167.44,167.77,65934776.0
