date,Close,Return,MA_S,MA_L,Signal,StratRet,Equity_100,Equity_50,Equity_BH
2023-07-27,189.94,-0.00669386047484577,189.92600000000002,188.69549999999998,1.0,-0.0,1.0,1.0,0.9933061395251542
2023-07-28,192.55,0.013741181425713345,190.704,189.0075,1.0,0.013741181425713345,1.0137411814257133,1.0068705907128566,1.0069553393996442
2023-07-31,193.17,0.0032199428719812406,191.444,189.13150000000002,1.0,0.0032199428719812406,1.0170053701168789,1.0084916236036432,1.0101976780671476
2023-08-01,192.33,-0.004348501320080578,191.842,189.28900000000002,1.0,-0.004348501320080578,1.0125829209223967,1.0062989100253779,1.0058048321305302
2023-08-02,189.3,-0.015754172515988096,191.458,189.35150000000002,1.0,-0.015754172515988096,0.9966305148994421,0.9983722067097827,0.9899592092877314
2023-08-03,187.89,-0.007448494453248911,191.048,189.3195,1.0,-0.007448494453248911,0.989207118037275,0.9946540217878048,0.982585503608409
2023-08-04,178.71,-0.04885837458087172,188.28,188.88500000000002,0.0,-0.04885837458087172,0.9408760661261453,0.9703554324003653,0.9345779730153749
2023-08-07,175.57,-0.017570365396452403,184.76000000000002,188.397,0.0,-0.0,0.9408760661261453,0.9703554324003653,0.9181570965380189
2023-08-08,176.52,0.005410947200546801,181.598,187.983,0.0,0.0,0.9408760661261453,0.9703554324003653,0.9231251961091935
2023-08-09,174.91,-0.009120779515069177,178.72,187.404,0.0,-0.0,0.9408760661261453,0.9703554324003653,0.9147055747306766
2023-08-10,174.69,-0.0012577897204276711,176.08,186.77550000000002,0.0,-0.0,0.9408760661261453,0.9703554324003653,0.9135550674615625
2023-08-11,174.75,0.00034346556757691715,175.288,186.1425,0.0,0.0,0.9408760661261453,0.9703554324003653,0.9138688421713209
2023-08-14,176.42,0.009556509298998428,175.458,185.42800000000003,0.0,0.0,0.9408760661261453,0.9703554324003653,0.9226022382595961
2023-08-15,174.41,-0.011393266069606556,175.036,184.626,0.0,-0.0,0.9408760661261453,0.9703554324003653,0.91209078548269
2023-08-16,173.53,-0.005045582248724201,174.76,183.7115,0.0,-0.0,0.9408760661261453,0.9703554324003653,0.9074887564062336
