date,Close,Return,Equity,Drawdown
2023-06-29,186.31,0.0018282518685810434,1.001828251868581,0.0
2023-06-30,190.69,0.023509205088293683,1.0253804377050062,0.0
2023-07-03,189.18,-0.007918611358749716,1.0172608485239556,-0.007918611358749716
2023-07-05,188.05,-0.005973147267152923,1.0111845996666131,-0.013844459594105407
2023-07-06,188.53,0.002552512629619752,1.0137656611281392,-0.011327285122449848
2023-07-07,187.4,-0.005993741049169832,1.0076894122707967,-0.01725313335780554
2023-07-10,185.33,-0.011045891141942321,0.9965585847179657,-0.02810844826682013
2023-07-11,184.8,-0.002859763664814108,0.9937086626875307,-0.03088782841260651
2023-07-12,186.49,0.009145021645021734,1.0027961499166538,-0.022025276626985724
2023-07-13,187.26,0.0041289077162314225,1.006936602677852,-0.017987309245371508
2023-07-14,187.41,0.0008010253124000055,1.007743184384579,-0.01720069222297893
2023-07-17,190.71,0.017608452056987467,1.0254879819325706,0.0
2023-07-18,190.45,-0.0013633265167009023,1.024089906974244,-0.0013633265167007913
2023-07-19,191.82,0.007193489104752038,1.0314566865623498,0.0
2023-07-20,189.85,-0.0102700448336982,1.0208635801473367,-0.0102700448336982
2023-07-21,188.66,-0.006268106399789253,1.0144646986073034,-0.016473777499739217
2023-07-24,189.47,0.004293437930668942,1.0188202398236286,-0.012251068710249058
2023-07-25,190.34,0.0045917559508101835,1.0234984137226446,-0.007715566677092944
2023-07-26,191.22,0.004623305663549404,1.0282303597354423,-0.0031279324366593197
2023-07-27,189.94,-0.00669386047484577,1.0213475291713727,-0.00980085496819938
2023-07-28,192.55,0.013741181425713345,1.0353820508684206,0.0
2023-07-31,193.17,0.0032199428719812406,1.0387159219228916,0.0
2023-08-01,192.33,-0.004348501320080578,1.0341990643652212,-0.004348501320080578
2023-08-02,189.3,-0.015754172515988096,1.0179061138893382,-0.02003416679608605
2023-08-03,187.89,-0.007448494453248911,1.0103242458461053,-0.027333436869078853
2023-08-04,178.71,-0.04885837458087172,0.9609614453944195,-0.0748563441528185
2023-08-07,175.57,-0.017570365396452403,0.9440770016669365,-0.09111145623026329
2023-08-08,176.52,0.005410947200546801,0.9491853524762068,-0.0861935083087434
