Date,苹果,特斯拉,英伟达
2025-07-17,-0.0006661019354642361,-0.007025863995037018,0.009511619418247186
2025-07-18,0.005523257149813832,0.03205907804067243,-0.0034103329892442025
2025-07-21,0.006155802989930459,-0.0035188948387289143,-0.005974193271661488
2025-07-22,0.009036224276703031,0.0110201078413521,-0.025382153858991896
2025-07-23,-0.0011660263132247106,0.0013550095657464123,0.022450953030295873
2025-07-24,-0.0018212218160039706,-0.08197020076301287,0.017332282040708913
2025-07-25,0.0005615031169694529,0.03524405566934252,-0.0013813991283150306
2025-07-28,0.000794759685829316,0.030152499060024596,0.018731927056198527
2025-07-29,-0.012987680343794161,-0.013483166498468035,-0.007015511649297035
2025-07-30,-0.010507880529716407,-0.006724793213012448,0.021423315763210438
2025-07-31,-0.007079572477626139,-0.03375758288237862,-0.0078095036466339085
2025-08-01,-0.025003627425670194,-0.01829559909125389,-0.023331592131278556
2025-08-04,0.004793060447819686,0.021907956170373222,0.03615015641036212
2025-08-05,-0.002114797207129704,-0.0017461311772288823,-0.009666754097136132
2025-08-06,0.050906861490558564,0.03624644466558724,0.006507379675917635
2025-08-07,0.03179372151243287,0.007377028928595486,0.007524251609216215
2025-08-08,0.0423579323014438,0.02290006868278205,0.010676529865774276
2025-08-11,-0.008337491848564249,0.02845443669493286,-0.0035030730919445308
2025-08-12,0.010872351709827699,0.005338753399730889,0.00604207269907131
2025-08-13,0.016024512985909567,-0.004283509772223915,-0.008571851865693314
2025-08-14,-0.0023571690519698096,-0.011196942235471519,0.002367972272603769
2025-08-15,-0.005112134265439328,-0.014959143019665277,-0.008625370866016446
2025-08-18,-0.0030225974608621975,0.013915797850586165,0.00864503950427431
2025-08-19,-0.0014291944969683223,-0.017454368181154756,-0.03499807468573979
2025-08-20,-0.019734652812962383,-0.016428300696053943,-0.0013664558234958157
2025-08-21,-0.004911305040181113,-0.011701168929731831,-0.002394569764917698
2025-08-22,0.012716750813830835,0.062166209505171155,0.017202144384917073
2025-08-25,-0.002634239986928577,0.019381771561470362,0.010225218164484184
2025-08-26,0.00946463359101557,0.01462783391499567,0.010900419888796753
2025-08-27,0.005145918125483151,-0.0058862207330171445,-0.0009353065749522216
2025-08-28,0.00898081290311703,-0.010354676927882056,-0.007874380116893676
2025-08-29,-0.001805954775134011,-0.03500206799409333,-0.033246505487318556
2025-09-02,-0.010424763463666054,-0.01350828116207925,-0.019519949164359285
2025-09-03,0.03808989840304622,0.014361219324440011,-0.0009368051517751885
2025-09-04,0.005493355773038333,0.01328983953448204,0.0060954357886893185
2025-09-05,-0.000375433370914946,0.036363092201525005,-0.027030123061550726
2025-09-08,-0.0075513878695669945,-0.01265534855703887,0.007723442803737823
2025-09-09,-0.014839387013392713,0.001645517708609212,0.014556416428491259
2025-09-10,-0.03225941254848019,0.0023633378140295314,0.03847516307429433
2025-09-11,0.014286302255316352,0.06043873744853956,-0.0008458526038293002
2025-09-12,0.01756295951024689,0.07356092584909457,0.0036686942232229125
2025-09-15,0.011235926409398633,0.03561147147692467,-0.00039368431381092694
2025-09-16,0.006125890181851501,0.028241113869250656,-0.016146210499489166
2025-09-17,0.003527257082143187,0.01005642588937583,-0.026246649910796838
2025-09-18,-0.004644626316983702,-0.021157139806429193,0.03494053288969079
2025-09-19,0.03203292635537114,0.022118270566640064,0.0024397172760990404
2025-09-22,0.043095737653501054,0.019104804353584193,0.03928232430745848
2025-09-23,-0.006443278871197333,-0.019253323313789705,-0.028211967028401452
2025-09-24,-0.008332328960039437,0.03977927016229388,-0.008182508094013552
2025-09-25,0.018073060767529903,-0.04381307961359793,0.004068588702951903
2025-09-26,-0.005489212856193304,0.0401756741055197,0.0028138668279011902
2025-09-29,-0.004031963397017835,0.00638055766924972,0.02053993896073769
2025-09-30,0.0007861175643599783,0.0034069849388267404,0.026010326197546618
2025-10-01,0.003220363988628794,0.033144428390707636,0.0035373842616002182
2025-10-02,0.006576576905767517,-0.051059922281332826,0.008812247405822538
2025-10-03,0.0034612549164674267,-0.014151406944344913,-0.006723594708770597
2025-10-06,-0.005154581092728927,0.054486690457546505,-0.011086219191363433
2025-10-07,-0.0008181232786117487,-0.044478772558432134,-0.0026948154076972264
2025-10-08,0.006160398261371158,0.012930352007360923,0.021995264931179426
2025-10-09,-0.015577861438013874,-0.007180455170972544,0.0182962524780399
2025-10-10,-0.034522106251509976,-0.05062684914805626,-0.04886532988389891
2025-10-13,0.00974435305541288,0.054197209585187034,0.028172088682583807
2025-10-14,0.0004441806313149055,-0.015278742269702716,-0.04402094463751838
2025-10-15,0.006336506208048043,0.013768529951932784,-0.0011107984306079066
2025-10-16,-0.007579973963228515,-0.01470755828163206,0.01101039928627312
2025-10-17,0.019559419889786378,0.02462973191508744,0.007755344299286593
2025-10-20,0.039438767662544505,0.018483519979771268,-0.0031656380962610253
2025-10-21,0.0020211608621845123,-0.010794954856246153,-0.008103395546085412
2025-10-22,-0.016440300357890014,-0.008201547294971134,-0.004857566318624551
2025-10-23,0.004372173918809619,0.022803402824313368,0.010428245272369407
2025-10-24,0.012481724364091562,-0.03398817183887881,0.022507573914282597
2025-10-27,0.022791311850895335,0.043115401997602554,0.02807914078902085
2025-10-28,0.0007067783895675639,0.017969970655449252,0.04981991068259206
2025-10-29,0.0026022429598195895,0.0020845119924046696,0.0298959843276152
2025-10-30,0.006303249053230431,-0.04639120107705208,-0.020044438573744605
2025-10-31,-0.0037950435186790976,0.03740057084027071,-0.0019715110218919696
2025-11-03,-0.004882341269010326,0.02586735066967427,0.021680040134361755
2025-11-04,0.0036797500454424092,-0.05147636612701911,-0.03958815778988811
2025-11-05,0.00037036583712879434,0.040089130615176494,-0.01751466251475131
2025-11-06,-0.0013697782796735503,-0.03497306340156037,-0.03652480823530613
2025-11-07,-0.004818894404181151,-0.03675632866235745,0.00037220833593964997
2025-11-10,0.00454869456011342,0.03657576451501576,0.05793254216114918
2025-11-11,0.02160114657791201,-0.01260026442672324,-0.029590603550341266
2025-11-12,-0.006466862149501096,-0.02051769508633805,0.003313345950255231
2025-11-13,-0.0019014031834500011,-0.06644220962287406,-0.03581023089314139
2025-11-14,-0.00197850671637112,0.005870832424868633,0.01771389245716648
2025-11-17,-0.018171161859606544,0.011302107716671506,-0.018772717127981342
2025-11-18,-7.464669137968727e-05,-0.018756757252943457,-0.028081441428459142
2025-11-19,0.0041877290655560895,0.006828636098130891,0.028451613832612743
2025-11-20,-0.008601349703672212,-0.02168365419886953,-0.03152470515111849
2025-11-21,0.019680647235321702,-0.010474950113494086,-0.00974309888497693
2025-11-24,0.016317468883471742,0.0682451678419993,0.02051656850567385
2025-11-25,0.003805495657415614,0.0038776272725380423,-0.02591075694250211
2025-11-26,0.002093957526739132,0.017119677587676296,0.013721728427074753
2025-11-28,0.0046839067924580036,0.008415835173881447,-0.018084970501686226
