Date,Close,日收益率
2025-07-16,209.3295440673828,
2025-07-17,209.1901092529297,-0.0006661019354642361
2025-07-18,210.3455047607422,0.005523184207602894
2025-07-21,211.64036560058597,0.006155875978032466
2025-07-22,213.55279541015625,0.009036224276702809
2025-07-23,213.30377197265625,-0.0011660977652936388
2025-07-24,212.91531372070312,-0.0018211504107996657
2025-07-25,213.03485107421875,0.0005614314509685414
2025-07-28,213.2041778564453,0.0007948313685424147
2025-07-29,210.4351501464844,-0.01298768034379394
2025-07-30,208.2239227294922,-0.010507880529716518
2025-07-31,206.7497711181641,-0.007079645758298336
2025-08-01,201.58029174804688,-0.025003555467844718
2025-08-04,202.5464630126953,0.004792984751981866
2025-08-05,202.1181488037109,-0.0021146466969287347
2025-08-06,212.40733337402344,0.050906782152972285
2025-08-07,219.16053771972656,0.03179364967503995
2025-08-08,228.4437255859375,0.04235793525056386
2025-08-11,226.5391082763672,-0.008337358816422502
2025-08-12,229.0021209716797,0.010872350977508605
2025-08-13,232.6717529296875,0.01602444528652036
2025-08-14,232.1233062744141,-0.0023571690519696986
2025-08-15,230.9366455078125,-0.005112200001143874
2025-08-18,230.23861694335935,-0.0030225976605758875
2025-08-19,229.90956115722656,-0.0014291945916863336
2025-08-20,225.3723907470703,-0.019734587754066668
2025-08-21,224.26551818847656,-0.004911305040181113
2025-08-22,227.11746215820312,0.01271681885277487
2025-08-25,226.5191650390625,-0.0026343069945183872
2025-08-26,228.6630859375,0.00946463359101557
2025-08-27,229.8397674560547,0.005145918125483151
2025-08-28,231.9039306640625,0.008980879291928812
2025-08-29,231.485107421875,-0.0018060204541949787
2025-09-02,229.0719451904297,-0.01042469754672981
2025-09-03,237.79725646972656,0.038089829254487784
2025-09-04,239.1035614013672,0.005493355773038333
2025-09-05,239.0137939453125,-0.000375433370914946
2025-09-08,237.2089080810547,-0.0075513878695669945
2025-09-09,233.6888732910156,-0.014839387013392824
2025-09-10,226.1501922607422,-0.03225947784379701
2025-09-11,229.3810577392578,0.014286370691166894
2025-09-12,233.40968322753903,0.017563026031820916
2025-09-15,236.0322265625,0.011235794928029508
2025-09-16,237.4781494140625,0.006125955224930424
2025-09-17,238.3157958984375,0.003527257082143187
2025-09-18,237.2089080810547,-0.004644626316983702
2025-09-19,244.8074188232422,0.03203299068174581
2025-09-22,255.3575592041016,0.04309567263758818
2025-09-23,253.71221923828125,-0.006443278871197444
2025-09-24,251.59820556640625,-0.008332328960039437
2025-09-25,256.14532470703125,0.018072939472633998
2025-09-26,254.73931884765625,-0.0054890943685314
2025-09-29,253.71221923828125,-0.004031963397017835
2025-09-30,253.9116668701172,0.0007861175643599783
2025-10-01,254.72933959960935,0.0032203038937570483
2025-10-02,256.40460205078125,0.006576637201686886
2025-10-03,257.2920837402344,0.0034612549164674267
2025-10-06,255.9658660888672,-0.00515452178741016
2025-10-07,255.7564392089844,-0.0008181828424344006
2025-10-08,257.3319702148437,0.006160278938556418
2025-10-09,253.32330322265625,-0.015577803989300865
2025-10-10,244.57806396484372,-0.03452204809648318
2025-10-13,246.9613342285156,0.009744415443628807
2025-10-14,247.07101440429688,0.0004441188177246591
