Date,微软,谷歌,AMD
2025-07-17,0.012024798401349734,0.003333859663267047,0.0020614806801599883
2025-07-18,-0.0032245603058123073,0.008061766084918043,-0.021320354659110086
2025-07-21,1.960089324581915e-05,0.027234507930688157,6.366333197171947e-05
2025-07-22,-0.009390995900055987,0.00652284472759046,-0.014522285218451447
2025-07-23,0.0011874228637833717,-0.005801269627039751,0.025400676349370155
2025-07-24,0.00990374455639742,0.010198329269446305,0.021872053918686074
2025-07-25,0.005539546066714474,0.005255677791484503,0.026832014770116652
2025-07-28,-0.002355468989289067,-0.003105852792606001,0.04319097968812935
2025-07-29,0.00013661035730994087,0.016460600264393666,0.021766663017303678
2025-07-30,0.0013071633403247684,0.003984778823434176,0.011665870361522446
2025-07-31,0.03947465264333894,-0.023558858448455622,-0.017826288486239794
2025-08-01,-0.017600790811475475,-0.014434577278789718,-0.02614713104297728
2025-08-04,0.021999250613806476,0.03124835147906513,0.029586499250702003
2025-08-05,-0.014729997520210203,-0.0018970200332972809,-0.013972175799066622
2025-08-06,-0.005324582094622388,0.007294364915233498,-0.06419598759758327
2025-08-07,-0.007810405975390733,0.002192924099354787,0.05689062688255975
2025-08-08,0.0023039702823861585,0.02493385632608236,0.002088170667614575
2025-08-11,-0.0005170101891194268,-0.002085208738534128,-0.0027783962884999625
2025-08-12,0.014316457175319819,0.011641791135678758,0.01549801594998712
2025-08-13,-0.01636295917072017,-0.00678663191097173,0.054129759279188505
2025-08-14,0.003649547910346884,0.004852401879072543,-0.01881575347118425
2025-08-15,-0.0044210893947667085,0.004730493237768307,-0.01901079027036512
2025-08-18,-0.005901999673326719,-0.001961833810664615,-0.00771784778087381
2025-08-19,-0.014175142741905788,-0.009483904252744146,-0.05444530697809358
2025-08-20,-0.007944773568311136,-0.011162409848264332,-0.008105710470002747
2025-08-21,-0.0012873996752821304,0.002157310630543474,-0.009019311512710404
2025-08-22,0.005929794175035807,0.0317396526637872,0.02473879193009454
2025-08-25,-0.0058553628679332,0.011645399915190868,-0.02622790915926676
2025-08-26,-0.004402542497525697,-0.006475063142526438,0.019955891862486697
2025-08-27,0.009361843214007903,0.0016413387467419938,0.0030609157398324705
2025-08-28,0.005722846222226963,0.020050109416597905,0.008675862537423473
2025-08-29,-0.005788384724478179,0.006000903938756519,-0.03529479703176819
2025-09-02,-0.003098602510448023,-0.007327086725852472,-0.001906152304534059
2025-09-03,0.000455385449735779,0.09136501092955474,-0.0011705423412576854
