date,open,high,low,close,volume
2023-06-28,413.5141,415.9041,412.8741,414.8541,75635976.0
2023-06-29,414.4241,416.7441,414.0041,416.5741,67882304.0
2023-06-30,419.9041,422.7641,419.5741,421.7441,104964019.0
2023-07-03,421.3841,422.5441,421.0941,422.2541,32793378.0
2023-07-05,420.3741,422.3541,420.3641,421.5941,58418432.0
2023-07-06,417.8841,418.5641,415.5241,418.1241,80658302.0
2023-07-07,417.0941,421.1041,416.7641,417.0141,86134178.0
2023-07-10,416.6441,418.3041,416.0541,418.1241,62443501.0
2023-07-11,418.9141,421.4341,417.9041,420.9241,64463752.0
2023-07-12,424.8541,425.9441,423.3741,424.4841,91924527.0
2023-07-13,426.3641,428.8441,425.9141,428.0241,72425241.0
2023-07-14,428.9441,429.8241,426.9541,427.7441,69815823.0
2023-07-17,427.5941,430.3941,427.5441,429.3041,52680221.0
2023-07-18,428.9641,433.3241,428.5141,432.6541,80744448.0
2023-07-19,433.4741,434.8941,432.5741,433.6641,65891688.0
2023-07-20,432.6341,433.5641,429.9041,430.6441,70591642.0
2023-07-21,432.4241,432.6341,430.6341,430.6441,71275618.0
2023-07-24,431.8341,433.5041,430.7641,432.6641,54023382.0
2023-07-25,432.3841,435.2041,432.3341,433.9041,55191240.0
2023-07-26,432.9341,435.4541,431.8441,433.9741,71052885.0
2023-07-27,437.4841,437.9041,430.0141,430.9541,92194375.0
2023-07-28,434.3441,436.2441,430.9541,435.3841,80011790.0
2023-07-31,435.8741,436.6241,434.5141,436.2541,62040449.0
2023-08-01,434.7341,435.7141,433.9541,434.9441,55502199.0
2023-08-02,431.7141,431.9841,427.8141,428.5941,93933369.0
2023-08-03,426.5041,429.2541,425.8341,427.3041,64419692.0
2023-08-04,429.1841,431.3641,424.7341,425.2741,100128902.0
2023-08-07,427.1741,429.3341,426.4541,429.1741,58357464.0
2023-08-08,426.5441,429.1641,423.7341,427.2141,71361324.0
2023-08-09,427.4941,427.6641,423.4241,424.2141,78789575.0
2023-08-10,426.6541,430.1641,423.1641,424.3741,93005495.0
2023-08-11,422.4341,425.1641,421.8141,424.1141,68690902.0
2023-08-14,423.1641,426.5741,422.8441,426.5741,47867441.0
2023-08-15,424.7341,425.1041,420.7641,421.3541,75707534.0
2023-08-16,420.9241,422.6441,417.9941,418.1041,80107206.0
2023-08-17,419.6241,419.8941,414.2141,414.7541,95711315.0
2023-08-18,411.8341,416.0341,411.4741,414.9641,98851960.0
2023-08-21,416.0141,418.5741,413.7841,417.8041,68718957.0
2023-08-22,419.6441,419.6441,416.0341,416.6141,65062861.0
2023-08-23,417.7141,422.1341,417.5641,421.4941,68441021.0
2023-08-24,423.1541,423.6841,415.3241,415.3541,88517272.0
2023-08-25,417.1441,419.7641,413.4641,418.4341,102325103.0
2023-08-28,420.7041,421.8641,418.4341,421.2241,61595393.0
2023-08-29,421.1141,427.9141,420.9241,427.6241,83081916.0
2023-08-30,427.9741,430.1341,427.2441,429.4741,69053911.0
2023-08-31,430.1141,431.2941,428.6241,428.8141,66084563.0
2023-09-01,431.6341,432.1341,428.1441,429.6541,58944098.0
2023-09-05,429.1941,429.5241,427.6341,427.7041,55166210.0
2023-09-06,426.8641,426.9741,422.2741,424.6841,70758512.0
2023-09-07,421.5741,424.0141,421.2141,423.3141,70355426.0
2023-09-08,423.3641,425.5741,422.9941,423.9841,62068437.0
2023-09-11,426.7041,427.2341,424.9341,426.9141,60180118.0
2023-09-12,425.4141,426.9941,423.8541,424.4541,67565422.0
2023-09-13,424.6841,426.1741,423.5441,424.9741,60199272.0
2023-09-14,427.5341,429.5441,426.1841,428.8241,83430814.0
2023-09-15,427.1872,427.5272,422.9672,423.4172,111848859.0
2023-09-18,423.0972,425.0172,422.6072,423.6772,55752213.0
2023-09-19,422.7272,423.3372,419.9872,422.7572,66514648.0
2023-09-20,424.0572,424.4872,418.4772,418.6872,82562602.0
2023-09-21,415.7472,416.0172,411.2772,411.4372,104095826.0
2023-09-22,412.4972,414.1472,410.0372,410.4672,100829684.0
2023-09-25,409.2172,412.3172,408.7672,412.2772,70874534.0
2023-09-26,409.1372,409.8672,405.0672,405.9272,96168436.0
2023-09-27,407.1372,407.7172,402.3372,406.0972,104705847.0
2023-09-28,405.5272,410.2972,404.9172,408.5672,92258308.0
2023-09-29,411.7172,411.8972,405.9572,407.5272,115111319.0
2023-10-02,406.6672,408.6472,404.5072,407.3572,83798599.0
2023-10-03,405.1072,407.4172,400.2272,401.6372,103760607.0
2023-10-04,402.1172,405.4772,400.6072,404.7072,87452968.0
2023-10-05,404.4072,405.4172,401.2172,404.5472,70142744.0
2023-10-06,402.0172,411.1772,400.6472,409.5872,113273309.0
2023-10-09,407.6272,412.9272,407.0572,412.3372,80374362.0
2023-10-10,412.9872,417.2672,412.5772,414.5872,78607268.0
2023-10-11,415.6872,416.6272,413.2272,416.3672,62451736.0
2023-10-12,416.9972,417.3872,411.2772,413.7072,81154230.0
2023-10-13,415.2572,416.4972,409.9272,411.5472,95201132.0
2023-10-16,413.8672,417.1872,413.6172,416.0872,75433194.0
2023-10-17,412.8572,418.1872,412.4972,416.0672,75324708.0
