date,open,high,low,close,volume
2023-06-28,324.93,328.25,324.08,326.12,20259523.0
2023-06-29,324.98,326.38,322.89,325.32,16997042.0
2023-06-30,328.02,333.0,327.47,330.81,26832756.0
2023-07-03,329.46,331.17,326.84,328.26,12508693.0
2023-07-05,325.36,331.92,325.0,328.42,18172378.0
2023-07-06,327.57,333.26,325.77,331.54,28195534.0
2023-07-07,329.59,332.06,327.27,327.49,21214824.0
2023-07-10,324.87,325.5,317.86,322.1,32791449.0
2023-07-11,321.33,323.13,317.27,322.74,26698218.0
2023-07-12,326.87,331.92,325.94,327.47,29995262.0
2023-07-13,329.83,334.01,329.29,332.93,20567159.0
2023-07-14,337.86,341.7,334.58,335.51,28352729.0
2023-07-17,335.95,337.26,332.47,336.0,20363927.0
2023-07-18,336.1,357.05,332.44,349.76,64872705.0
2023-07-19,352.02,352.73,342.71,345.35,39732901.0
2023-07-20,343.84,348.24,335.64,337.14,33778395.0
2023-07-21,339.42,340.57,330.1,334.04,69405382.0
2023-07-24,336.12,337.19,332.58,335.38,26719207.0
2023-07-25,337.38,342.16,335.34,341.25,41637739.0
2023-07-26,331.71,334.94,323.38,328.04,58383702.0
2023-07-27,330.75,331.6,319.32,320.99,39635262.0
2023-07-28,323.94,330.28,323.44,328.64,28484868.0
2023-07-31,327.19,327.97,323.63,326.19,25446022.0
2023-08-01,325.46,328.81,323.97,326.61,18381253.0
2023-08-02,323.9,323.9,316.63,317.77,27761257.0
2023-08-03,316.27,320.15,316.22,316.93,18360352.0
2023-08-04,322.15,325.41,317.51,318.05,23741484.0
2023-08-07,318.64,321.38,317.79,320.38,17741526.0
2023-08-08,317.23,319.02,313.27,316.32,22327574.0
2023-08-09,316.74,317.38,311.32,312.5,22373268.0
2023-08-10,316.29,318.53,311.45,313.2,20113725.0
2023-08-11,310.53,312.68,309.48,311.28,24355491.0
2023-08-14,311.66,314.33,310.35,314.31,18836139.0
2023-08-15,313.27,315.36,311.17,312.13,16966285.0
2023-08-16,311.75,315.37,310.75,311.35,20698864.0
2023-08-17,311.49,312.82,307.16,307.83,21257161.0
2023-08-18,305.44,309.33,302.5,307.43,24755012.0
2023-08-21,308.88,313.72,307.99,312.83,24039956.0
2023-08-22,316.45,317.03,312.41,313.41,16102024.0
2023-08-23,314.77,320.15,314.41,317.95,21166382.0
2023-08-24,323.8,323.93,310.91,310.92,23281434.0
2023-08-25,312.42,316.31,309.75,313.93,21684104.0
2023-08-28,316.61,317.1,312.67,314.65,14808482.0
2023-08-29,312.83,319.93,312.83,319.36,19284590.0
2023-08-30,319.62,320.76,317.4,319.74,15222110.0
2023-08-31,320.15,321.86,317.73,318.71,26410954.0
2023-09-01,322.26,322.94,317.73,319.61,14942024.0
2023-09-05,319.95,325.8,319.61,324.5,18553859.0
2023-09-06,324.33,325.41,321.13,323.83,17535773.0
2023-09-07,322.24,324.03,319.98,320.86,18380995.0
2023-09-08,321.04,327.11,320.41,325.22,19548165.0
2023-09-11,328.19,329.37,326.38,328.89,16583324.0
2023-09-12,326.77,327.74,322.43,322.72,17565482.0
2023-09-13,322.26,327.8,322.12,327.01,16544412.0
2023-09-14,330.1,331.81,327.52,329.65,20267048.0
2023-09-15,327.87,328.35,320.6,321.17,37679792.0
2023-09-18,318.75,321.35,317.31,320.01,16834208.0
2023-09-19,317.12,320.34,315.46,319.6,16514487.0
2023-09-20,320.46,320.54,311.46,311.72,21436525.0
2023-09-21,310.21,316.3,305.95,310.48,35560362.0
2023-09-22,312.27,312.4,307.1,307.96,21447887.0
2023-09-25,307.54,308.62,305.95,308.49,17835964.0
2023-09-26,306.08,306.83,300.97,303.09,26297573.0
2023-09-27,303.25,305.25,300.64,303.74,19410082.0
2023-09-28,301.94,306.43,300.4,304.59,19683564.0
2023-09-29,308.7,310.42,305.93,306.7,24147298.0
2023-10-02,307.23,312.84,306.13,312.75,20570006.0
2023-10-03,311.78,312.34,302.17,304.34,21033492.0
2023-10-04,304.98,310.99,304.95,309.91,20720144.0
2023-10-05,310.04,310.93,305.85,310.31,16965629.0
2023-10-06,307.5,320.14,307.25,318.21,25673630.0
2023-10-09,315.7,321.25,314.13,320.77,19891180.0
2023-10-10,321.91,322.05,318.62,319.34,20557094.0
2023-10-11,322.16,323.77,320.09,323.37,20063246.0
2023-10-12,321.52,324.58,319.67,322.11,19313098.0
2023-10-13,323.33,324.78,317.31,318.68,21085695.0
2023-10-16,322.0,327.09,321.55,323.59,22158048.0
2023-10-17,320.54,324.41,318.36,323.01,18338523.0
2023-10-18,323.44,326.54,319.25,321.06,23153602.0
2023-10-19,323.1,327.83,321.86,322.27,25052071.0
2023-10-20,322.67,322.87,316.4,317.62,25027608.0
2023-10-23,316.42,323.675,315.34,320.27,24374748.0
2023-10-24,322.25,322.79,318.55,321.48,31153193.0
2023-10-25,335.97,337.15,328.57,331.62,55053725.0
2023-10-26,331.49,332.58,317.89,318.84,37828543.0
2023-10-27,321.375,327.67,319.3507,320.76,29856522.0
2023-10-30,324.36,330.4,322.78,328.26,22827869.0
2023-10-31,329.8,329.95,325.64,329.06,20265282.0
2023-11-01,330.74,338.37,330.6,337.02,28158671.0
2023-11-02,338.19,339.78,335.72,339.27,24347820.0
2023-11-03,340.58,345.34,338.28,343.75,23637241.0
2023-11-06,344.4,348.49,344.3,347.48,23828301.0
2023-11-07,350.35,353.41,348.58,351.48,25833889.0
2023-11-08,352.63,354.82,351.5,354.15,26767828.0
2023-11-09,353.25,355.74,351.312,351.64,24847289.0
2023-11-10,352.44,361.05,352.02,360.62,28065155.0
2023-11-13,359.17,359.42,356.85,357.63,19986506.0
2023-11-14,361.96,362.9,358.2954,361.22,27683852.0
2023-11-15,362.98,364.83,358.81,361.37,26859819.0
2023-11-16,362.66,368.05,361.88,367.87,27182093.0
2023-11-17,365.31,366.07,358.7,361.55,40325304.0
2023-11-20,362.92,370.57,362.7,369.14,52528855.0
2023-11-21,367.37,367.9215,362.82,364.77,28423145.0
2023-11-22,369.7,371.4899,366.665,369.55,23361183.0
2023-11-24,369.03,369.67,366.835,369.13,9347023.0
2023-11-27,368.48,372.34,367.9,370.31,22178858.0
2023-11-28,370.05,374.7,369.86,374.4,20453112.0
2023-11-29,375.46,376.0,369.14,370.55,28963387.0
2023-11-30,370.19,371.79,367.17,370.61,30554404.0
2023-12-01,368.46,369.86,363.01,366.21,33040376.0
2023-12-04,360.8,361.22,354.6,360.84,32062984.0
2023-12-05,358.15,364.775,357.321,364.22,23064786.0
2023-12-06,365.24,365.88,359.73,360.5,21182055.0
2023-12-07,359.93,363.1527,358.02,362.65,23118434.0
2023-12-08,360.9,366.16,359.93,365.93,20153878.0
2023-12-11,360.18,363.3,357.8,363.0,27708753.0
2023-12-12,362.55,366.12,362.16,366.08,24836762.0
2023-12-13,367.72,369.3361,362.47,366.07,30955531.0
2023-12-14,365.01,365.46,355.83,357.63,43277189.0
2023-12-15,358.55,364.1,357.98,362.43,78502160.0
2023-12-18,361.15,364.7,360.38,364.35,21802868.0
2023-12-19,363.19,364.96,361.54,364.96,20603592.0
2023-12-20,366.7,367.73,362.23,362.32,26316604.0
2023-12-21,364.26,366.11,361.74,365.24,17707142.0
