股票,Beta(numpy),Beta(pandas)
AAPL,1.087955023874603,1.0879550238746034
MSFT,0.9399136058978932,0.9399136058978936
GOOGL,1.1473050454846783,1.1473050454846787
AMZN,1.3663195535794432,1.3663195535794437
META,1.4480975953435447,1.4480975953435453
NVDA,2.0206135272986887,2.0206135272986896
TSLA,2.2235787410780206,2.223578741078022
AMD,2.2288236125649727,2.2288236125649736
JPM,0.8870263336094527,0.8870263336094532
