股票,Sharpe
NVDA,1.8303229032230832
JPM,1.7486396495614405
AMD,1.5994070798531514
GOOGL,1.3470193505025403
SPY,1.1764351518499174
META,0.8859670735761339
AAPL,0.8011743981379379
AMZN,0.744065871796056
TSLA,0.38301629860605696
MSFT,0.1839850542897245
