Date,Close,return,cum_return
2025-07-29,210.43516540527344,-0.012987608774891357,-0.012987608774891357
2025-07-30,208.2239227294922,-0.010507952278425825,-0.02335908788009977
2025-07-31,206.74978637695312,-0.007079572477626139,-0.030273288002067522
2025-08-01,201.58030700683597,-0.02500355362250284,-0.05451990184468114
2025-08-04,202.5464630126953,0.004792908693340703,-0.049988302062851875
2025-08-05,202.11813354492188,-0.0021147220316880544,-0.05199731273084096
2025-08-06,212.40733337402344,0.050906861490558564,-0.0037374712373525742
2025-08-07,219.16053771972656,0.03179364967503995,0.02793735058649638
2025-08-08,228.4437255859375,0.04235793525056386,0.07147865432427536
2025-08-11,226.53909301757807,-0.008337425610942972,0.06254528075013344
2025-08-12,229.00210571289065,0.010872351709828143,0.07409764675006691
2025-08-13,232.6717529296875,0.016024512985909567,0.09130953843854828
2025-08-14,232.1233062744141,-0.0023571690519696986,0.08873713736842159
2025-08-15,230.9366607666016,-0.005112134265439328,0.08317136694242411
2025-08-18,230.23863220214844,-0.0030225974608623085,0.07989737591902513
2025-08-19,229.9095764160156,-0.0014291944969684334,0.07835399253207109
2025-08-20,225.3723907470703,-0.019734652812962272,0.05707305087997905
2025-08-21,224.26551818847656,-0.004911305040181113,0.05188144267735262
2025-08-22,227.1174468994141,0.012716750813831057,0.0652579568695737
2025-08-25,226.5191650390625,-0.002634239986928688,0.06245181176319381
2025-08-26,228.6630859375,0.00946463359101557,0.07250752886964307
2025-08-27,229.8397674560547,0.005145918125483151,0.07802656480217052
2025-08-28,231.90391540527344,0.00898081290311703,0.08770811968524872
2025-08-29,231.485107421875,-0.001805954775134011,0.08574376801255101
2025-09-02,229.07192993164065,-0.010424763463665943,0.07442514604887074
2025-09-03,237.79725646972656,0.03808989840304622,0.1153498907035504
2025-09-04,239.1035614013672,0.005493355773038333,0.12147690446460446
2025-09-05,239.0137939453125,-0.000375433370914946,0.12105586460995799
2025-09-08,237.2089080810547,-0.0075513878695669945,0.11259033695283538
2025-09-09,233.6888732910156,-0.014839387013392824,0.09608017835543103
2025-09-10,226.15020751953125,-0.03225941254847997,0.060721275695651666
2025-09-11,229.3810577392578,0.014286302255316352,0.07587506044888448
2025-09-12,233.40966796875,0.01756295951024689,0.09477061057363256
2025-09-15,236.03224182128903,0.011235926409398633,0.10707137258921029
2025-09-16,237.4781494140625,0.006125890181851723,0.11385317024116359
2025-09-17,238.3157958984375,0.003527257082143187,0.11778201672436439
2025-09-18,237.2089080810547,-0.004644626316983702,0.11259033695283538
2025-09-19,244.80740356445312,0.03203292635537114,0.14822986128014315
2025-09-22,255.3575592041016,0.043095737653501276,0.1977136741477883
2025-09-23,253.71221923828125,-0.006443278871197444,0.18999647093740757
2025-09-24,251.59820556640625,-0.008332328960039437,0.180081028880271
2025-09-25,256.1453552246094,0.018073060767529903,0.2014087050258333
2025-09-26,254.73931884765625,-0.005489212856193304,0.19481391691666294
